Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
9/21/2014,0040-0045,09/21/14,2014,9,14144376,2D,1000 B/O 25th St NW,Homelessness,,Simple Assault
10/3/2014,1320-1321,10/03/14,2014,10,14152172,6D,5100 B/O Nannie Helen Burroughs Ave NE,Sexual Orientation,,Threats
10/13/2014,2255-2345,10/13/14,2014,10,14157939,6D,2300 B/O Fairlawn Ave SE,Race,White,Damage/Defacing/Destruction of Property
10/16/2014,1906-1908,10/16/14,2014,10,14159610,2D,5200 B/O Loughboro Rd NW,Race,Black,Simple Assault
10/31/2014,2350-2359,11/01/14,2014,11,14169001,1D,7th St NW & G ST NW,Sexual Orientation,,Simple Assault
11/2/2014,1000,11/02/14,2014,11,14169801,1D,300 B/O G St SW,Race,White,Threats
11/2/2014,1727-1945,11/02/14,2014,11,14169959,7D,1600 B/O Good Hope Rd SE,Sexual Orientation,,Simple Assault
11/2/2014,2047,11/03/14,2014,11,14170617,3D,1100 B/O 7th St NW,Ethnicity/National Origin,Indian,Simple Assault
11/6/2014,1820-1830,11/03/14,2014,11,14172353,6D,900 B/O Division Ave NE,Sexual Orientation,,ADW
11/13/2014,1340-1509,11/13/14,2014,11,14176146,3D,1500 B/O Park Rd NW,Race,Unspecified,ADW
11/15/2014,0323-0330,11/15/14,2014,11,14177125,2D,1600 B/O K St NW,Sexual Orientation,,Simple Assault
1/11/2015,1700-1710,01/11/15,2015,1,15005239,5D,2300 B/O Washington Pl NE,Sexual Orientation,,Damage/Defacing/Destruction of Property
1/16/2015,1622-1628,01/16/15,2015,1,15007779,2D,3900 B/O Chesapeake St NW,Sexual Orientation,,Simple Assault
1/18/2015,1200-1220,01/18/15,2015,1,15008222,1D,300 B/O Indiana Ave NW,Sexual Orientation,,ADW
1/23/2015,1730-0930,01/24/15,2015,1,15011758,2D,3000 B/O Van Ness St NW,Race,Black,Damage/Defacing/Destruction of Property
2/5/2015,0230-0250,02/05/15,2015,2,15017703,7D,2900 B/O Martin Luther King Jr Ave SE,Gender Identity/Expression,,ADW
2/5/2015,1820-1821,02/05/15,2015,2,15018054,3D,3100 B/O 14th St NW,Gender Identity/Expression,,Simple Assault
2/13/2015,2100-1445,02/15/15,2015,2,15022921,2D,4800 B/O Connecticut Ave NW,Race,Black,Damage/Defacing/Destruction of Property
2/24/2015,2025-2026,02/24/15,2015,2,15026882,7D,2600 B/O Stanton Rd SE,Sexual Orientation,,Simple Assault
3/2/2015,1717-1913,03/02/15,2015,3,15029735,1D,4th St NW & K St NW,Race,Asian,ADW
3/13/2015,1548,03/14/15,2015,3,15035070,7D,1200 B/O Pleasant St SE,Gender Identity/Expression,,Robbery
3/19/2015,1350-1400,03/19/15,2015,3,15038284,2D,3100 B/O K St NW,Sexual Orientation,,Threats
3/22/2015,1315-1318,03/22/15,2015,3,15039950,2D,1100 B/O New Hampshire Ave NW,Sexual Orientation,,Simple Assault
3/26/2015,1058-1059,03/26/15,2015,3,15041990,1D,800 B/O Pennsylvania Ave SE,Sexual Orientation,,Simple Assault
3/31/2015,1230-1250,04/01/15,2015,4,15045344,2D,17th St NW & K St NW,Political Affiliation,,Theft
4/23/2015,1530-1532,04/23/15,2015,4,15057805,1D,600 B/O I St NW,Religion,Jewish,Threats
4/24/2015,2120,04/24/15,2015,4,15058585,2D,1200 B/O 20th St NW,Political Affiliation,,Arson
4/29/2015,2335-2345,05/02/15,2015,5,15062996,2D,20th ST NW & S St NW,Race,Black,Threats
5/12/2015,0500-0505,05/12/15,2015,5,15068440,2D,900 B/O G St NW,Gender Identity/Expression,,ADW
5/13/2015,0004-0015,05/13/15,2015,5,15069014,5D,Florida Ave NE & Holbrook St NE,Sexual Orientation,,Simple Assault
5/21/2015,2150-2155,05/21/15,2015,5,15074332,4D,400 B/O Riggs Rd NE,Race,White,ADW
5/23/2015,1707-1708,05/23/15,2015,5,15075484,2D,4600 B/O Wisconsin Ave NW,Race,Black,Simple Assault
6/7/2015,0243-0248,06/07/15,2015,6,15084337,5D,1800 B/O New York Ave NE,Sexual Orientation,,Simple Assault
6/12/2015,1520-1525,06/12/15,2015,6,15087650,6D,3700 B/O Hayes St NE,Sexual Orientation,,Simple Assault
6/13/2015,0430-0435,06/13/15,2015,6,15088054,2D,1100 B/O 18th St NW,Sexual Orientation,,Robbery
6/19/2015,1525-1530,06/19/15,2015,6,15092039,1D,1100 B/O H St NE,Sexual Orientation,,Simple Assault
6/19/2015,2010-2018,06/19/15,2015,6,15092142,1D,11th St SE & South Carolina Ave SE,Race,White,Simple Assault
6/18/2015,0200-0215,06/20/15,2015,6,15092667,7D,1100 B/O Howard Rd SE,Sexual Orientation,,Simple Assault
6/23/2015,2018-2020,06/23/15,2015,6,15094629,3D,2800 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
7/13/2015,0650-0652,07/13/15,2015,7,15106071,3D,2100 B/O 12th St NW,Race,Black,Simple Assault
7/12/2015,2100-2105,07/13/15,2015,7,15106302,3D,1300 B/O Columbia Rd NW,Sexual Orientation,,Threats
7/16/2015,1330-1347,07/16/15,2015,7,15108057,6D,3900 B/O Clay Pl NE,Sexual Orientation,,Robbery
7/18/2015,1625-1629,07/18/15,2015,7,15109441,2D,2100 B/O E St NW,Religion,Muslim,Damage/Defacing/Destruction of Property
7/26/2015,1010-1028,07/26/15,2015,7,15114333,2D,45th St NW & Massachusetts Ave NW,Race,Black,Damage/Defacing/Destruction of Property
8/7/2015,0119-0124,08/07/15,2015,8,15121520,2D,Potomac Ave NW & Prospect St NW,Sexual Orientation,,Simple Assault
8/15/2015,1345-1355,08/15/15,2015,8,15126726,1D,900 B/O 3rd St NW,Gender Identity/Expression,,Simple Assault
8/27/2015,1940-1952,08/27/15,2015,8,15134023,5D,1500 B/O Benning Rd NE,Gender Identity/Expression,,Threats
8/20/2015,0846-1838,08/31/15,2015,8,15136567,2D,3200 B/O Patterson St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
9/1/2015,0630-0730,09/02/15,2015,9,15138024,6D,Unit B/O M St SW,Sexual Orientation,,Sexual Abuse
9/3/2015,1135-1200,09/03/15,2015,9,15138270,6D,4000 B/O Minnesota Ave NE,Sexual Orientation,,Threats
9/4/2015,1300-1335,09/04/15,2015,9,15138950,6D,3900 B/O Minnesota Ave NE,Sexual Orientation,,Threats
9/12/2015,2400-2403,09/12/15,2015,9,15143700,2D,900 B/O 25th St NW,Sexual Orientation,,Simple Assault
9/14/2015,1740-1745,09/14/15,2015,9,15145195,1D,400 B/O K St NW,Race,White,Simple Assault
9/15/2015,1319-1530,09/15/15,2015,9,15145619,1D,1900 B/O M St SE,Race,Black,Robbery
9/15/2015,1955-1958,09/15/15,2015,9,15145875,1D,1800 B/O Blk  East Capitol St NE,Race,White,Robbery
9/19/2015,2330-1930,09/23/15,2015,9,15150759,4D,3500 B/O 13th St NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
9/25/2015,2237-2242,09/25/15,2015,9,15152168,5D,1100 B/O Owens Pl NE,Sexual Orientation,,Threats
10/1/2015,2225-2230,10/02/15,2015,10,15155750,3D,1100 B/O Blk of Harvard St NW,Sexual Orientation,,Robbery
10/8/2015,1134-1230,10/08/15,2015,10,15159566,2D,K St NW & Washington Cir NW,Religion,Muslim,ADW
10/8/2015,0500-1130,10/08/15,2015,10,15159716,1D,G St NW & Massachusetts Ave NW,Gender Identity/Expression,,Simple Assault
10/13/2015,0935-0951,10/13/15,2015,10,15162486,3D,2100 B/O 4th St NW,Gender Identity/Expression,,ADW
10/13/2015,1215-1216,10/13/15,2015,10,15162534,2D,20th ST NW & Q St NW,Race,Unspecified,Damage/Defacing/Destruction of Property
10/17/2015,0305-0310,10/17/15,2015,10,15164932,3D,Vermont Ave NW & U St NW,Race,Black,Simple Assault
10/21/2015,2100-2105,10/21/15,2015,10,15167760,7D,Unit B/O Galveston Pl SW,Sexual Orientation,,Robbery
10/23/2015,1640-1651,10/23/15,2015,10,15168831,1D,13th St NW & G ST NW,Sexual Orientation,,Simple Assault
11/1/2015,2245-2400,11/01/15,2015,11,15173860,1D,600 B/O F St NW,Gender Identity/Expression,,ADW
11/5/2015,1820-1828,11/05/15,2015,11,15176719,1D,7th St NW & Indiana Ave NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
11/6/2015,1645-1655,11/06/15,2015,11,15177323,2D,1400 B/O L St NW,Race,Black,Threats
11/8/2015,1453-1500,11/08/15,2015,11,15178501,3D,800 B/O Blk of Florida Ave NW,Race,White,Robbery
11/11/2015,1928-1929,11/11/15,2015,11,15180337,3D,2400 B/O 6th St NW,Race,Black,Threats
11/30/2015,0226-0509,11/30/15,2015,11,15190805,1D,500 B/O G St NW,Gender Identity/Expression,,ADW
12/6/2015,1520-1645,12/06/15,2015,12,15194549,2D,5300 B/O Nevada Ave NW,Race,Black,Threats
12/5/2015,1733-1733,12/10/15,2015,12,15196534,1D,400 B/O New Jersey Ave NE,Religion,Muslim,Threats
12/10/2015,1214-1214,12/10/15,2015,12,15197337,5D,1400 B/O Staples St NE,Race,White,Threats
12/13/2015,0032-0126,12/13/15,2015,12,15198456,2D,1000 B/O Wisconsin Ave NW,Ethnicity/National Origin,Arab/Middle Eastern,Threats
12/17/2015,2328-2335,12/18/15,2015,12,15201404,3D,1100 B/O Blk U St NW,Sexual Orientation,,Simple Assault
12/19/2015,0230-0230,12/21/15,2015,12,15203495,2D,800 B/O Connecticut Ave NW,Ethnicity/National Origin,Latino/Hispanic,ADW
1/1/2016,0340-0350,01/01/16,2016,1,16000379,1D,1100 B/O 4th St SW,Sexual Orientation,,Simple Assault
1/12/2016,2000,01/12/16,2016,1,16006051,2D,3100 B/O M St NW,Ethnicity/National Origin,Unspecified,Simple Assault
1/16/2016,0001-0100,01/19/16,2016,1,16010086,2D,2100 B/O E St NW,Ethnicity/National Origin,Asian,Theft
1/19/2016,1930-1935,01/19/16,2016,1,16010112,1D,600 B/O F St NW,Gender Identity/Expression,,Threats
1/19/2016,0000,01/21/16,2016,1,16013182,6D,4300 B/O C St SE,Sexual Orientation,,Voyeurism
1/28/2016,0730-0800,01/28/16,2016,1,16013651,1D,600 B/O F St NW,Sexual Orientation,,Robbery
1/29/2016,0001,01/29/16,2016,1,16014543,3D,1300 B/O 7th St NW,Sexual Orientation,,Simple Assault
2/7/2016,2230-2235,02/09/16,2016,2,16020096,6D,5200 B/O E St SE,Gender Identity/Expression,,Simple Assault
2/13/2016,0340-0350,02/13/16,2016,2,16022306,2D,1900 B/O BLK R St NW,Ethnicity/National Origin,Latino/Hispanic,Robbery
2/25/2016,1200-12205,02/25/16,2016,2,16028747,2D,1800 B/O R St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
2/26/2016,0819-0835,02/26/16,2016,2,16029135,1D,800 B/O 6th St NW,Race,Black,Simple Assault
3/6/2016,2200-2300,03/07/16,2016,3,16035192,1D,600 B/O Acker Pl NE,Sexual Orientation,,ADW
3/8/2016,1000,03/09/16,2016,3,16036050,2D,1500 B/O 16th St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
3/14/2016,1800-1810,03/14/16,2016,3,16039294,3D,1500 B/O blk North Capitol ST NW,Race,White,Threats
3/15/2016,1708-1715,03/15/16,2016,3,16039876,5D,900 B/O Rhode Island Ave NE,Sexual Orientation,,Simple Assault
3/19/2016,2400-2404,03/19/16,2016,3,16041944,6D,4100 B/O blk East Capitol St NE,Ethnicity/National Origin,Latino/Hispanic,Robbery
3/22/2016,0940,03/22/16,2016,3,16043698,4D,900 B/O Crittenden St NW,Sexual Orientation,,Simple Assault
3/25/2016,1740,03/25/16,2016,3,16045961,3D,3100 B/O 14th St NW,Gender Identity/Expression,,Simple Assault
3/27/2016,2020,03/27/16,2016,3,16047246,2D,4300 B/O Wisconsin Ave NW,Ethnicity/National Origin,Latino/Hispanic,Threats
4/4/2016,1108-1120,04/04/16,2016,4,16051659,6D,6200 B/O Dix St NE,Gender Identity/Expression,,Simple Assault
4/4/2016,1745-1746,04/04/16,2016,4,16051894,6D,5000 B/O Hayes St NE,Sexual Orientation,,Threats
4/8/2016,0100-0144,04/08/16,2016,4,16053744,1D,600 B/O F St NW,Race,Black,Simple Assault
4/9/2016,0355,04/09/16,2016,4,16054512,5D,800 B/O Florida Ave NE,Religion,Jewish,Damage/Defacing/Destruction of Property
4/10/2016,0100-0115,04/10/16,2016,4,16054987,3D,2400 B/O 18th St NW,Sexual Orientation,,Simple Assault
4/15/2016,0914,04/15/16,2016,4,16058198,5D,800 B/O Florida Ave NE,Religion,Jewish,Damage/Defacing/Destruction of Property
4/21/2016,2239-2346,04/21/16,2016,4,16062591,2D,5500 B/O Conn Ave NW,Religion,Muslim,Simple Assault
4/21/2016,2330-2400,04/22/16,2016,4,16062767,4D,600 B/O Kenyon St NW,Religion,Muslim,Damage/Defacing/Destruction of Property
4/22/2016,1625-1628,04/22/16,2016,4,16063030,5D,1200 B/O Morse St NE,Race,Black,Simple Assault
4/24/2016,1041-1100,04/24/16,2016,4,16064153,4D,4200 B/O 2nd St NW,Sexual Orientation,,ADW
4/28/2016,0841-1100,04/28/16,2016,4,16066584,3D,2500 B/O 11th St NW,Sexual Orientation,,ADW
4/20/2016,1115,05/04/16,2016,5,16070040,4D,3800 B/O Georgia Ave NW,Sexual Orientation,,Threats
5/5/2016,2236,05/06/16,2016,5,16071328,3D,2100 B/O 4th St NW,Sexual Orientation,,ADW
5/6/2016,0042-0202,05/06/16,2016,5,16071395,4D,1400 B/O Tuckerman St NW,Race,Black,Simple Assault
5/13/2016,0456-0500,05/13/16,2016,5,16076125,3D,2000 B/O 14th St NW,Sexual Orientation,,Threats
5/14/2016,0240-0244,05/14/16,2016,5,16076517,5D,500 B/O L St NW,Gender Identity/Expression,,ADW
5/16/2016,1830-1840,05/16/16,2016,5,16078106,4D,300 B/O Missouri Ave NW,Ethnicity/National Origin,Latino/Hispanic,Threats
5/17/2016,1720-1730,05/17/16,2016,5,16078670,4D,3700 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
5/18/2016,1153-1154,05/18/16,2016,5,16079118,1D,300 B/O H St NW,Gender Identity/Expression,,Simple Assault
5/20/2016,1759-1800,05/20/16,2016,5,16080636,2D,4500 B/O Wisconsin Ave NW,Homelessness,,Simple Assault
5/28/2016,0000-1030,05/28/16,2016,5,16085736,2D,2000 B/O P St NW,Ethnicity/National Origin,Arab/Middle Eastern,Damage/Defacing/Destruction of Property
5/30/2016,1138,05/20/16,2016,5,16087712,2D,1600 B/O Connecticut Ave NW,Ethnicity/National Origin,Arab/Middle Eastern,Damage/Defacing/Destruction of Property
6/6/2016,1623,06/06/16,2016,6,16091695,6D,3900 B/O Benning Rd NE,Sexual Orientation,,Simple Assault
6/10/2016,0020,06/10/16,2016,6,16094095,7D,2300 B/O Green St SE,Sexual Orientation,,ADW
6/11/2016,1045,06/11/16,2016,6,16094964,3D,2400 B/O Sherman Ave NW,Race,Black,Simple Assault
6/13/2016,0400,06/13/16,2016,6,16096316,2D,2000 B/O S St NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
6/14/2016,1730,06/14/16,2016,6,16097126,1D,900 B/O H St NW,Gender Identity/Expression,,Threats
6/15/2016,0726,06/15/16,2016,6,16097438,3D,1700 B/O 16th St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
6/12/2016,0400,06/16/16,2016,6,16098404,3D,2300 B/O 18th St NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
6/20/2016,1900,06/20/16,2016,6,16102041,3D,1500 B/O North Capitol St NW,Gender Identity/Expression,,Robbery
6/22/2016,2352,06/23/16,2016,6,16102589,2D,1800 B/O 18th St NW,Sexual Orientation,,ADW
6/23/2016,1730,06/23/16,2016,6,16103122,7D,1300 B/O Alabama Ave SE,Sexual Orientation,,Threats
6/23/2016,2000,06/23/16,2016,6,16103204,3D,400 B/O O St NW,Race,White,Threats
6/25/2016,2016,06/25/16,2016,6,16104355,2D,3100 B/O M St NW,Race,White,Simple Assault
6/25/2016,1946,06/25/16,2016,6,16104521,5D,800 B/O Bladensburg Rd NE,Sexual Orientation,,ADW
6/21/2016,2016,06/21/16,2016,6,16106888,3D,1600 B/O 17th St NW,Sexual Orientation,,Simple Assault
6/1/2016,1730-1732,07/06/16,2016,7,16111639,2D,2400 B/O Tracy Pl NW,Religion,Jewish,Damage/Defacing/Destruction of Property
7/6/2016,2015-2019,07/06/16,2016,7,16111756,2D,5200 B/O 42nd St NW,Race,White,Threats
7/8/2016,0333-0350,07/08/16,2016,7,16112589,7D,1500 B/O Alabama Ave SE,Sexual Orientation,,ADW
7/12/2016,1035-1050,07/12/16,2016,7,16115031,5D,1500 B/O Benning Rd NE,Gender Identity/Expression,,Threats
7/12/2016,2135-2150,07/13/16,2016,7,16115421,1D,600 B/O I St NW,Race,Black,Threats
7/14/2016,1630-1649,07/14/16,2016,7,16116491,3D,1100 B/O Rhode Island Ave NW,Sexual Orientation,,Simple Assault
7/17/2016,0020-0021,07/17/16,2016,7,16118067,3D,900 B/O U St NW,Race,Black,Simple Assault
7/17/2016,1930-1940,07/17/16,2016,7,16118491,4D,200 B/O Cedar St NW,Religion,Muslim,Threats
7/19/2016,0000-1710,07/23/16,2016,7,16119683,2D,1100 B/O 20th St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
7/23/2016,1005-1010,07/23/16,2016,7,16122110,2D,3100 B/O 34th St NW,Ethnicity/National Origin,Unspecified,Threats
7/25/2016,2233-2343,07/26/16,2016,7,16123724,7D,2600 B/O Martin Luther King Ave SE,Sexual Orientation,,Threats
8/1/2016,1902-2017,08/01/16,2016,8,16128121,2D,2650 B/O Massachusetts Ave NW,Religion,Muslim,Threats
8/3/2016,0110-0700,08/03/16,2016,8,16129021,6D,100 B/O Division Ave NE,Sexual Orientation,,Threats
8/6/2016,0405,08/06/16,2016,8,16131000,7D,2400 B/O Alabama Ave SE,Ethnicity/National Origin,Latino/Hispanic,Robbery
8/21/2016,1800-2059,08/22/16,2016,8,16141289,1D,400 B/O 7th St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
8/23/2016,0012-0013,08/23/16,2016,8,16141375,1D,600 B/O H St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
8/25/2016,1234-1411,08/25/16,2016,8,16142973,6D,900 B/O Eastern Ave NW,Gender Identity/Expression,,Simple Assault
8/28/2016,0411-0503,08/28/16,2016,8,16144770,3D,3300 B/O 14th St NW,Gender Identity/Expression,,Simple Assault
9/6/2016,2250-2310,09/07/16,2016,9,16150940,4D,6900 B/O Georgia Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
9/14/2016,0045,09/14/16,2016,9,16155806,7D,900 B/O Blakney Lane SE,Gender Identity/Expression,,Threats
9/16/2016,1715,09/16/16,2016,9,16157283,1D,100 B/O 4th St SE,Disability,,Simple Assault
9/23/2016,2151-2215,09/23/16,2016,9,16162028,3D,400 B/O Florida Ave NW,Race,White,Simple Assault
9/24/2016,1000-1030,09/24/16,2016,9,16162304,2D,4800 B/O Massachusetts Ave NW,Religion,Jewish,Threats
9/26/2016,1853-1857,09/26/16,2016,9,16163918,2D,700 B/O 11th St NW,Sexual Orientation,,Threats
10/1/2016,1300-1720,10/03/16,2016,10,16168163,3D,1400 B/O Corcoran St NW,Race,Black,Damage/Defacing/Destruction of Property
10/5/2016,1145-1238,10/05/16,2016,10,16169200,5D,1500 B/O Maryland Ave NE,Gender Identity/Expression,,Simple Assault
10/7/2016,2030-2036,10/08/16,2016,10,16170819,7D,1600 B/O Morris Rd SE,Ethnicity/National Origin,Black/African,Threats
10/16/2016,0240-0320,10/16/16,2016,10,16175768,1D,3800 B/O 14th St NW,Gender Identity/Expression,,Simple Assault
10/16/2016,0306-0352,10/16/16,2016,10,16175772,3D,1900 B/O 8th St NW,Sexual Orientation,,Simple Assault
10/16/2016,1542-1642,10/16/16,2016,10,16176048,7D,1300 B/O Congress St SE,Gender Identity/Expression,,ADW
10/19/2016,0522-0525,10/19/16,2016,10,16177646,1D,800 B/O 7th St NE,Gender Identity/Expression,,Simple Assault
10/22/2016,0313,10/22/16,2016,10,16179656,2D,2300 B/O Wisconsin Ave NW,Sexual Orientation,,Simple Assault
10/23/2016,1714-1821,10/23/16,2016,10,16180630,1D,Unit B/O Massachusetts Ave NE,Sexual Orientation,,ADW
10/22/2016,0300-1057,10/24/16,2016,10,16181036,2D,2100 B/O S St NW,Sexual Orientation,,Threats
10/30/2016,0151-0345,10/30/16,2016,10,16184816,3D,600 B/O Florida Ave NW,Sexual Orientation,,Simple Assault
10/31/2016,2246,11/01/16,2016,11,16186020,2D,4300 B/O Prospect St NW,Sexual Orientation,,Robbery
11/4/2016,1745,11/04/16,2016,11,16188074,3D,2500 B/O 9th St NW,Ethnicity/National Origin,Latino/Hispanic,Threats
11/4/2016,1551,11/04/16,2016,11,16188276,3D,1500 B/O 4th St NW,Gender Identity/Expression,,ADW
11/5/2016,2000-1059,11/06/16,2016,11,16189410,2D,1400 B/O Foxhall Rd NW,Political Affiliation,,Damage/Defacing/Destruction of Property
11/7/2016,2040,11/07/16,2016,11,16190338,4D,3700 B/O Georgia Ave NW,Gender Identity/Expression,,Simple Assault
11/12/2016,0000-1030,11/13/16,2016,11,16193410,2D,2900 B/O Bellevue Ter NW,Religion,Jewish,Damage/Defacing/Destruction of Property
11/13/2016,0105,11/17/16,2016,11,16195957,2D,3700 B/O O St NW,Religion,Muslim,Simple Assault
11/18/2016,0215,11/18/16,2016,11,16196212,2D,1900 B/O M St NW,Political Affiliation,,ADW
11/19/2016,0409,11/19/16,2016,11,16196907,3D,700 B/O Florida Ave NW,Sexual Orientation,,ADW
11/20/2016,0545-0630,11/20/16,2016,11,16197526,4D,3800 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
11/28/2016,1910,11/28/16,2016,11,16202012,6D,5300 B/O Dix St NE,Sexual Orientation,,Simple Assault
12/9/2016,1130,12/09/16,2016,12,16208137,7D,3300 B/O 10th Pl SE,Sexual Orientation,,Simple Assault
12/17/2016,0152,12/17/16,2016,12,16212622,2D,1200 B/O 24th St NW,Religion,Christian,Simple Assault
12/17/2016,2015,12/17/16,2016,12,16213049,1D,600 B/O H St NW,Gender Identity/Expression,,Simple Assault
12/17/2016,2041,12/17/16,2016,12,16213056,1D,540 B/O L St NW,Sexual Orientation,,Threats
7/25/2016,1830-1835,07/26/16,2016,7,16214281,5D,1900 B/O 13th St NW,Sexual Orientation,,ADW
1/5/2017,1533,01/06/17,2017,1,17003228,7D,3400 B/O 4th ST SE,Sexual Orientation,,Threats
1/15/2017,1812,01/15/17,2017,1,17008389,1D,700 B/O 7th St NW,Political Affiliation,,Simple Assault
1/17/2017,1340,01/17/17,2017,1,17009376,2D,3800 B/O Reservoir Rd NW,Race,Black,ADW
1/21/2017,0050,01/21/17,2017,1,17011418,3D,1700 B/O New Hampshire Ave NW,Religion,Jewish,Simple Assault
1/21/2017,0253,01/21/17,2017,1,17011454,5D,2200 B/O Douglas St NE,Political Affiliation,,Damage/Defacing/Destruction of Property
1/26/2017,0703,01/26/17,2017,1,17014388,6D,1700 B/O R St SE,Gender Identity/Expression,,ADW
1/27/2017,0300,01/27/17,2017,1,17014929,2D,1700 B/O Massachusetts Ave NW,Religion,Jewish,Damage/Defacing/Destruction of Property
1/29/2017,0300,01/29/17,2017,1,17016247,2D,1700 B/O N St NW,Political Affiliation,,ADW
2/4/2017,1900,02/04/17,2017,2,17020132,3D,1300 B/O Vermont Ave NW,Sexual Orientation,,ADW
2/6/2017,1700,02/07/17,2017,2,17021479,2D,2800 B/O Wisconsin Ave NW,Religion,Jewish,Threats
2/17/2017,0225,02/17/17,2017,2,17027193,3D,2400 B/O 18th St NW,Race,Black,Simple Assault
2/18/2017,0025,02/18/17,2017,2,17027720,3D,1800 B/O Columbia Rd NW,Ethnicity/National Origin,Black/African,Threats
2/3/2017,1100,02/20/17,2017,2,17029252,1D,500 B/O Indiana Ave NW,Sexual Orientation,,Simple Assault
2/18/2017,0948,02/21/17,2017,2,17029569,2D,2800 B/O Wisconsin Ave NW,Religion,Jewish,Threats
2/21/2017,1500,02/21/17,2017,2,17029776,7D,3300 B/O 6th St SE,Sexual Orientation,,Damage/Defacing/Destruction of Property
2/22/2017,1820,02/23/17,2017,2,17031021,2D,600 B/O 15th St NW,Sexual Orientation,,Simple Assault
2/28/2017,1555,02/28/17,2017,2,17033942,4D,400 B/O Shepherd St NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
2/23/2017,1326,03/03/17,2017,3,17035641,2D,2100 B/O G St NW,Political Affiliation,,Damage/Defacing/Destruction of Property
3/3/2017,1705,03/03/17,2017,3,17035857,2D,3000 B/O M St NW,Race,White,Threats
2/17/2017,2200,03/08/17,2017,3,17038173,2D,1300 B/O New Hampshire Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
3/8/2017,1625,03/08/17,2017,3,17038694,6D,200 B/O 57th St NE,Gender Identity/Expression,,Threats
3/9/2017,1650,03/09/17,2017,3,17039367,4D,3800 B/O Georgia Ave NW,Gender Identity/Expression,,Threats
3/12/2017,1400,03/12/17,2017,3,17040976,3D,2800 B/O Georgia Ave NW,Gender Identity/Expression,,Damage/Defacing/Destruction of Property
3/13/2017,2115,03/14/17,2017,3,17041805,1D,400 B/O New Jersey Ave NW,Ethnicity/National Origin,Asian,Damage/Defacing/Destruction of Property
