Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
5/20/2018,0100,05/21/18,2018,5,18081726,3D,700 B/O Harvard St NW,Sexual Orientation,,Robbery
5/25/2018,1430,05/26/18,2018,5,18084660,4D,1400 B/O Perry Pl NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
5/27/2018,0310,05/27/18,2018,5,18085245,2D,1900 B/O M St NW,Race,Black,Simple Assault
5/27/2018,1828,05/27/18,2018,5,18085566,3D,1300 B/O 14th St NW,Sexual Orientation,,Simple Assault
6/1/2018,1045,06/01/18,2018,6,18088385,1D,700 B/O I St NE,Sexual Orientation,,Simple Assault
6/1/2018,1928,06/01/18,2018,6,18088713,5D,900 B/O Rhode Island Ave NE,Ethnicity/National Origin,Latino/Hispanic,Threats
6/4/2018,0949,06/04/18,2018,6,18090063,5D,1100 B/O Oates St NE,Gender Identity/Expression,,Simple Assault
6/5/2018,2116,06/05/18,2018,6,18091166,4D,400 B/O Peabody St NW,Sexual Orientation,,Simple Assault
6/5/2018,2307,06/06/18,2018,6,18091220,1D,500 B/O H St NW,Race,Black,Threats
6/6/2018,1736,06/06/18,2018,6,18091675,4D,5600 B/O 1st St NE,Race,Black,Threats
6/7/2018,0004,06/07/18,2018,6,18091886,1D,100 B/O 7th St NW,Sexual Orientation,,Simple Assault
6/10/2018,1700,06/10/18,2018,6,18094116,3D,1600 B/O R St NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
6/10/2018,1650,06/10/18,2018,6,18094124,1D,1600 B/O A St SE,Race,White,Simple Assault
6/13/2018,1746,06/13/18,2018,6,18096064,2D,1600 B/O P St NW,Ethnicity/National Origin,Latino/Hispanic,Threats
6/13/2018,2350,06/14/18,2018,6,18096291,6D,100 B/O 47th St NE,Sexual Orientation,,Robbery
6/15/2018,1423,06/15/18,2018,6,18097244,2D,5300 B/O Wisconsin Ave NW,Race,Black,Simple Assault
6/16/2018,0040,06/16/18,2018,6,18097619,3D,1600 B/O 17th St NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
6/16/2018,0213,06/16/18,2018,6,18097663,6D,3800 B/O Minnesota Ave NE,Sexual Orientation,,Threats
6/17/2018,0402,06/17/18,2018,6,18098318,2D,1700 B/O M St NW,Gender Identity/Expression,,Simple Assault
6/17/2018,2215,06/18/18,2018,6,18098804,6D,1300 B/O Good Hope Rd SE,Gender Identity/Expression,,Robbery
6/21/2018,1206,06/21/18,2018,6,18101001,5D,1200 B/O 6th St NE,Ethnicity/National Origin,Latino/Hispanic,Threats
6/22/2018,2001,06/22/18,2018,6,18101936,4D,7000 B/O Blair Rd NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
6/26/2018,1445,06/26/18,2018,6,18104343,2D,1000 B/O 14th St NW,Ethnicity/National Origin,Asian,ADW
6/27/2018,1728,06/27/18,2018,6,18104966,2D,1200 B/O Wisconsin Ave NW,Sexual Orientation,,Stalking
6/29/2018,0049,06/29/18,2018,6,18105946,3D,2300 B/O 18th St NW,Political Affiliation,,ADW
6/29/2018,0117,06/29/18,2018,6,18105958,3D,1300 B/O U St NW,Ethnicity/National Origin,Latino/Hispanic,ADW
6/29/2018,0658,06/29/18,2018,6,18106025,1D,300 B/O D St SW,Ethnicity/National Origin,Arab/Middle Eastern,Damage/Defacing/Destruction of Property
6/29/2018,1817,06/29/18,2018,6,18106333,5D,1200 B/O Quincy St NE,Race,White,Simple Assault
6/29/2018,2145,06/30/18,2018,6,18106702,2D,3100 B/O M St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
7/1/2018,1711,07/01/18,2018,7,18107476,2D,4400 B/O Connecticut Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
7/2/2018,1714,07/02/18,2018,7,18108061,2D,1400 B/O M St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
7/2/2018,1853,07/02/18,2018,7,18108146,2D,4500 B/O Garfield St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
7/3/2018,2040,07/03/18,2018,7,18108875,3D,3100 B/O 14th St NW,Sexual Orientation,,Simple Assault
7/4/2018,1413,07/04/18,2018,7,18109277,7D,4600 B/O Martin Luther King Jr Ave SW,Gender Identity/Expression,,Threats
7/6/2018,0007,07/06/18,2018,7,18110306,1D,800 B/O 7th ST NW,Gender Identity/Expression,,Simple Assault
7/6/2018,1309,07/06/18,2018,7,18110527,5D,2400 B/O Market St NE,Race,Asian,Simple Assault
7/7/2018,2334,07/07/18,2018,7,18111503,1D,700 B/O 6th St NW,Race,Black,Simple Assault
7/9/2018,0631,07/09/18,2018,7,18112174,2D,1700 B/O Rhode Island Ave NW,Race,Black,Simple Assault
7/11/2018,1546,07/11/18,2018,7,18113700,2D,1700 B/O Pennsylvania Ave NW,Ethnicity/National Origin,Asian,Threats
7/14/2018,2229,07/15/18,2018,7,18115852,7D,3000 B/O 5th ST SE,Sexual Orientation,,Robbery
7/15/2018,0358,07/15/18,2018,7,18115984,2D,700 B/O 10th St NW,Sexual Orientation,,Simple Assault
7/19/2018,1625,07/19/18,2018,7,18118973,1D,700 B/O 9th ST NW,Ethnicity/National Origin,Black/African,Simple Assault
7/21/2018,0001,07/21/18,2018,7,18120309,2D,2300 B/O M St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
7/25/2018,2300,07/26/18,2018,7,18123007,1D,700 B/O 4th ST SE,Race,White,Damage/Defacing/Destruction of Property
7/28/2018,1700,07/28/18,2018,7,18124744,3D,800 B/O Mount Vernon Pl NW,Sexual Orientation,,Simple Assault
8/2/2018,0752,08/02/18,2018,8,18127579,7D,3300 B/O Wheeler Rd SE,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
7/30/2018,1259,08/02/18,2018,8,18127751,2D,800 B/O 16th St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
8/6/2018,0141,08/06/18,2018,8,18129957,2D,1200 B/O Wisconsin Ave NW,Race,Black,ADW
8/9/2018,0139,08/09/18,2018,8,18131818,3D,1900 B/O 14th St NW,Race,Black,Simple Assault
8/10/2018,0927,08/10/18,2018,8,18132548,5D,2100 B/O I St NE,Gender Identity/Expression,,Threats
8/10/2018,1822,08/10/18,2018,8,18132857,2D,2500 B/O Pennsylvania Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
8/11/2018,0212,08/11/18,2018,8,18133101,4D,6500 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
8/12/2018,1700,08/12/18,2018,8,18133968,2D,1300 B/O New York Ave NW,Political Affiliation,,Simple Assault
8/12/2018,2300,08/13/18,2018,8,18134315,7D,1200 B/O Valley Ter SE,Sexual Orientation,,Damage/Defacing/Destruction of Property
8/15/2018,0000,08/15/18,2018,8,18135346,5D,1300 B/O Brentwood Rd NE,Sexual Orientation,,Threats
8/8/2018,0940,08/16/18,2018,8,18136300,3D,3600 B/O 16th St NW,Sexual Orientation,,Threats
8/17/2018,1353,08/17/18,2018,8,18136864,2D,2000 B/O P St NW,Ethnicity/National Origin,Asian,Simple Assault
8/18/2018,1820,08/18/18,2018,8,18137691,6D,5000 B/O Hayes St NE,Gender Identity/Expression,,Threats
8/21/2018,1815,08/21/18,2018,8,18139639,2D,6600 B/O 31st St NW,Race,Black,ADW
8/25/2018,2030,08/25/18,2018,8,18142329,2D,2300 B/O M St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
8/26/2018,1920,08/26/18,2018,8,18142923,5D,1700 B/O Gales St NE,Race,Black,Damage/Defacing/Destruction of Property
8/27/2018,1119,08/27/18,2018,8,18143313,5D,4000 B/O 22nd St NE,Race,White,Simple Assault
8/27/2018,1249,08/27/18,2018,8,18143342,6D,3200 B/O Pennsylvania Ave SE,Race,White,Threats
8/27/2018,1549,08/27/18,2018,8,18143488,2D,5700 B/O Broad Branch Rd NW,Ethnicity/National Origin,Latino/Hispanic,Threats
8/28/2018,0123,08/28/18,2018,8,18143814,2D,1500 B/O P St NW,Sexual Orientation,,Simple Assault
8/28/2018,0610,08/28/18,2018,8,18143849,7D,1900 B/O Martin Luther King Jr Ave SE,Sexual Orientation,,Damage/Defacing/Destruction of Property
8/28/2018,2217,08/29/18,2018,8,18144420,3D,3100 B/O Mount Pleasant St NW,Ethnicity/National Origin,Latino/Hispanic,ADW
8/29/2018,1251,08/29/18,2018,8,18144698,2D,1100 B/O 15th St NW,Political Affiliation,,Threats
8/30/2018,0818,08/30/18,2018,8,18145283,2D,1100 B/O K St NW,Ethnicity/National Origin,Black/African,Simple Assault
8/30/2018,1614,08/30/18,2018,8,18145520,4D,5500 B/O 9th St NW,Ethnicity/National Origin,Latino/Hispanic,ADW
8/31/2018,1821,08/31/18,2018,8,18146310,5D,500 B/O Rhode Island Ave NE,Gender Identity/Expression,,Threats
9/1/2018,1721,09/01/18,2018,9,18146892,5D,2300 B/O 4th St NE,Gender Identity/Expression,,Threats to Kidnap or Injure a Person
9/2/2018,2050,09/02/18,2018,9,18147554,3D,600 B/O Florida Ave NW,Sexual Orientation,,Simple Assault
9/4/2018,1905,09/04/18,2018,9,18148709,1D,600 B/O H St NW,Sexual Orientation,,Destruction of Property
9/4/2018,2104,09/04/18,2018,9,18148791,1D,600 B/O H St NW,Sexual Orientation,,Simple Assault
9/7/2018,1422,09/07/18,2018,9,18150682,1D,1200 B/O North Capitol St NW,Gender Identity/Expression,,Affrays
9/8/2018,1706,09/08/18,2018,9,18151260,2D,Unit B/O Dupont Cir NW,Homelessness,,ADW
9/10/2018,2255,09/10/18,2018,9,18152577,2D,1400 B/O P St NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
9/14/2018,1200,09/14/18,2018,9,18154936,6D,2800 B/O Alabama Ave SE,Gender Identity/Expression,,Threats to Kidnap or Injure a Person
9/14/2018,1847,09/14/18,2018,9,18155207,2D,1300 B/O Connecticut Ave NW,Gender Identity/Expression,,Threats to do Bodily Harm
9/16/2018,2126,09/16/18,2018,9,18156533,3D,2000 B/O New Hampshire Ave NW,Sexual Orientation,,Aggravated Assault
9/19/2018,2040,09/19/18,2018,9,18158422,3D,1300 B/O V St NW,Sexual Orientation,,Simple Assault
9/20/2018,1700,09/20/18,2018,9,18159012,1D,500 B/O 4th St SW,Race,Black,Destruction of Property
9/23/2018,2151,09/23/18,2018,9,18161201,4D,6700 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
9/25/2018,0740,09/25/18,2018,9,18161966,4D,3700 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
9/25/2018,2200,09/26/18,2018,9,18163076,3D,1600 B/O S St NW,Political Affiliation,,Threats to do Bodily Harm
9/27/2018,0628,09/27/18,2018,9,18163248,6D,3800 B/O Minnesota Ave NE,Gender Identity/Expression,,Destruction of Property
9/27/2018,1336,09/28/18,2018,9,18163440,1D,400 B/O A St SE,Race,White,Simple Assault
9/29/2018,1445,09/29/18,2018,9,18164975,3D,1900 B/O Calvert St NW,Sexual Orientation,,Deface Private/Public Property
9/30/2018,1830,09/30/18,2018,9,18165594,1D,1100 B/O 4th ST SW,Sexual Orientation,,Simple Assault
9/30/2018,1844,09/30/18,2018,9,18165612,1D,1900 B/O Massachusetts Ave SE,Sexual Orientation,,Simple Assault
10/2/2018,0206,10/02/18,2018,10,18166409,2D,1600 B/O Connecticut Ave NW,Gender Identity/Expression,,Simple Assault
9/29/2018,0300,10/03/18,2018,10,18167341,3D,400 B/O Florida Ave NW,Sexual Orientation,,Threats
10/5/2018,1518,10/05/18,2018,10,18168685,7D,3400 B/O 4th St SE,Sexual Orientation,,Threats
10/5/2018,1638,10/05/18,2018,10,18168752,3D,1100 B/O U St NW,Sexual Orientation,,Simple Assault
10/7/2018,1550,10/07/18,2018,10,18170015,6D,1800 B/O Good Hope Rd SE,Gender Identity/Expression,,Threats
10/8/2018,1036,10/08/18,2018,10,18170389,2D,1400 B/O Foxhall Rd NW,Ethnicity/National Origin,Non-European,Damage/Defacing/Destruction of Property
10/10/2018,0833,10/10/18,2018,10,18171772,7D,1400 B/O Bruce Pl SE,Sexual Orientation,,Threats
10/12/2018,1913,10/12/18,2018,10,18173369,2D,1200 B/O G St NW,Sexual Orientation,,Threats
10/11/2018,0630,10/12/18,2018,10,18173370,1D,800 B/O 5th St NW,Gender Identity/Expression,,Threats
10/13/2018,2245,10/13/18,2018,10,18174031,3D,1600 B/O Kalmia RD NW,Ethnicity/National Origin,Latino/Hispanic,Robbery
10/13/2018,2239,10/14/18,2018,10,18174032,6D,3700 B/O Benning Rd NE,Sexual Orientation,,Damage/Defacing/Destruction of Property
10/14/2018,1607,10/14/18,2018,10,18174400,4D,7100 B/O Georgia Ave NW,Gender Identity/Expression,,Robbery
10/16/2018,0334,10/16/18,2018,10,18175249,4D,4400 B/O 14th St NW,Gender Identity/Expression,,Simple Assault
10/16/2018,1245,10/16/18,2018,10,18175461,4D,6300 B/O 5th St NW,Sexual Orientation,,Simple Assault
10/16/2018,1454,10/16/18,2018,10,18175485,1D,400 B/O New Jersey Ave SE,Religion,Muslim,Threats
10/17/2018,1725,10/17/18,2018,10,18176285,6D,4400 B/O Texas Ave SE,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
10/18/2018,1615,10/18/18,2018,10,18176846,2D,3200 B/O M St NW,Gender Identity/Expression,,Threats
10/18/2018,2024,10/18/18,2018,10,18177007,2D,3700 B/O Newark St NW,Race,White,Threats
10/13/2018,1731,10/19/18,2018,10,18177458,6D,3400 B/O Hayes St NE,Race,White,Simple Assault
10/21/2018,0150,10/21/18,2018,10,18178450,7D,1300 B/O W St SE,Gender Identity/Expression,,Robbery
10/23/2018,1850,10/23/18,2018,10,18180039,3D,1400 B/O Girard St NW,Gender Identity/Expression,,Threats
10/24/2018,2245,10/25/18,2018,10,18181132,2D,1700 B/O L St NW,Political Affiliation,,Threats
10/26/2018,1445,10/26/18,2018,10,18181709,2D,1400 B/O K St NW,Political Affiliation,,Threats
10/27/2018,1220,10/27/18,2018,10,18182347,3D,1600 B/O Columbia Rd NW,Religion,Hindu,Simple Assault
10/29/2018,0039,10/29/18,2018,10,18183291,3D,2100 B/O 14th St NW,Gender Identity/Expression,,Robbery
10/24/2018,1600,10/29/18,2018,10,18183479,2D,2100 B/O G St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
10/29/2018,0130,10/29/18,2018,10,18183535,2D,3300 B/O Wisconsin Ave NW,Political Affiliation,,Stalking
10/29/2018,1250,10/29/18,2018,10,18183659,2D,3900 B/O Macomb St NW,Religion,Jewish,Stalking
11/2/2018,1612,11/02/18,2018,11,18186467,6D,2800 B/O Alabama Ave SE,Sexual Orientation,,ADW
11/6/2018,0917,11/06/18,2018,11,18188522,2D,700 B/O 13th St NW,Ethnicity/National Origin,Latino/Hispanic,Threats to do Bodily Harm
11/7/2018,1153,11/07/18,2018,11,18189149,2D,2600 B/O Woodley Rd NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
11/7/2018,1140,11/07/18,2018,11,18189154,4D,3400 B/O 14th St NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
11/7/2018,1835,11/07/18,2018,11,18189444,2D,2900 B/O Chain Bridge Rd NW,Political Affiliation,,Deface Private/Public Property
11/10/2018,0250,11/10/18,2018,11,18191100,3D,1700 B/O U St NW,Sexual Orientation,,ADW
11/10/2018,1200,11/10/18,2018,11,18191533,3D,1400 B/O Florida Ave NW,Sexual Orientation,,Deface Private/Public Property
11/11/2018,1627,11/11/18,2018,11,18191948,5D,3100 B/O South Dakota Ave NE,Sexual Orientation,,Simple Assault
11/11/2018,1632,11/11/18,2018,11,18191978,2D,1900 B/O Q St NW,Ethnicity/National Origin,Jewish,Deface Private/Public Property
11/13/2018,1415,11/13/18,2018,11,18193046,5D,1800 B/O West Virginia Ave NE,Gender Identity/Expression,,Assault w/Significant Bodily Injury
11/16/2018,1918,11/16/18,2018,11,18195111,1D,1000 B/O 4th St SW,Political Affiliation,,Destruction of Property
11/16/2018,2358,11/17/18,2018,11,18195310,2D,1200 B/O 28th ST NW,Ethnicity/National Origin,Middle Eastern,Robbery
11/18/2018,1809,11/18/18,2018,11,18196360,2D,3000 B/O McKInley St NW,Ethnicity/National Origin,Jewish,Displaying Symbols
11/19/2018,0282,11/19/18,2018,11,18196690,4D,1600 B/O Jonquil St NW,Religion,Jewish,Stalking
11/20/2018,1157,11/20/18,2018,11,18197504,2D,4200 B/O Davenport St NW,Ethnicity/National Origin,Jewish,Displaying Symbols
11/24/2018,2019,11/24/18,2018,11,18199839,3D,1700 B/O Columbia Rd NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
11/28/2018,1957,11/28/18,2018,11,18202245,2D,3600 B/O Cumberland St NW,Race,Black,Simple Assault
11/29/2018,1956,11/29/18,2018,11,18202971,3D,1700 B/O Euclid St NW,Race,Black,Destruction of Property
12/1/2018,0438,12/01/18,2018,12,18203912,5D,1300 B/O 2nd St NE,Gender Identity/Expression,,Threats
12/9/2018,0004,12/09/18,2018,12,18208672,3D,1600 B/O U St NW,Sexual Orientation,,Simple Assault
12/11/2018,1912,12/11/18,2018,12,18210281,5D,800 B/O Florida Ave NE,Religion,Muslim,Stalking
12/13/2018,1827,12/13/18,2018,12,18211517,2D,2300 B/O K St NW,Ethnicity/National Origin,Jewish,Displaying Symbols
12/14/2018,2330,12/15/18,2018,12,18212348,3D,2900 B/O 14th St NW,Gender Identity/Expression,,Threats
12/16/2018,0315,12/16/18,2018,12,18213058,2D,Unit B/O Dupont Cir NW,Ethnicity/National Origin,Middle Eastern,Simple Assault
12/18/2018,1710,12/18/18,2018,12,18214628,2D,1800 B/O M St NW,Race,Black,Threats
12/18/2018,2136,12/18/18,2018,12,18214747,2D,1100 B/O 23rd St NW,Race,Black,Damage/Defacing/Destruction of Property
12/19/2018,1745,12/19/18,2018,12,18215198,2D,Unit B/O Dupont Cir NW,Religion,Muslim,Simple Assault
12/23/2018,0038,12/23/18,2018,12,18217302,4D,1100 B/O Spring Rd NW,Religion,Muslim,Threats
12/24/2018,1325,12/24/18,2018,12,18218031,3D,1600 B/O Kalmia RD NW,Ethnicity/National Origin,Asian,Simple Assault
12/27/2018,1730,12/28/18,2018,12,18220101,2D,1100 B/O 19th St NW,Gender Identity/Expression,,Threats
12/30/2018,0045,12/30/18,2018,12,18220971,1D,1800 B/O Half St SW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
12/30/2018,0245,12/30/18,2018,12,18221059,6D,1600 B/O 17th Pl SE,Sexual Orientation,,ADW
1/1/2019,1700,01/01/19,2019,1,19000642,2D,1700 B/O P St NW,Ethnicity/National Origin,Latino/Hispanic,Threats
1/1/2019,0052,01/03/19,2019,1,19001623,2D,3000 B/O K St NW,Ethnicity/National Origin,Middle Eastern,Simple Assault
1/4/2019,1406,01/04/19,2019,1,19002287,5D,1100 B/O Owen Pl NE,Gender Identity/Expression,,Simple Assault
1/11/2019,2214,01/10/19,2019,1,19006769,7D,2200 B/O Savannah Ter SE,Ethnicity/National Origin,Latino/Hispanic,Robbery
1/13/2019,1908,01/13/19,2019,1,19007623,7D,1100 B/O Alabama Ave SE,Sexual Orientation,,Simple Assault
1/16/2019,2052,01/16/19,2019,1,19009200,3D,900 B/O U St NW,Race,Black,Threats
1/17/2019,1044,01/17/19,2019,1,19009463,5D,3300 B/O 12th ST NE,Race,White,Simple Assault
1/27/2019,2030,01/27/19,2019,1,19015763,5D,1600 B/O West Virginia Ave NE,Sexual Orientation,,Simple Assault
1/29/2019,0613,01/29/19,2019,1,19016527,4D,3300 B/O Sherman Ave NW,Gender Identity/Expression,,Threats
1/30/2019,2100,01/30/19,2019,1,19017588,7D,500 B/O Mellon St SE,Gender Identity/Expression,,ADW
2/2/2019,0940,02/02/19,2019,2,19019045,3D,1600 B/O Park Rd NW,Sexual Orientation,,Threats
2/3/2019,0220,02/03/19,2019,2,19019484,6D,3700 B/O Benning Rd NE,Sexual Orientation,,Simple Assault
2/5/2019,1909,02/05/19,2019,2,19021139,6D,4000 B/O Minnesota Ave NE,Sexual Orientation,,Threats
2/8/2019,0048,02/08/19,2019,2,19022625,3D,1400 B/O Clifton St NW,Ethnicity/National Origin,Black/African,Simple Assault
2/10/2019,0309,02/10/19,2019,2,19023967,3D,1800 B/O Columbia Rd NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
2/12/2019,1739,02/12/19,2019,2,19025342,4D,3700 B/O Georgia Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
2/14/2019,1952,02/15/19,2019,2,19026746,1D,Unit B/O E St NE,Ethnicity/National Origin,Non-European,Damage/Defacing/Destruction of Property
2/16/2019,2341,02/17/19,2019,2,19028126,3D,2300 B/O 18th St NW,Sexual Orientation,,Simple Assault
2/18/2019,2025,02/20/19,2019,2,19029102,1D,600 B/O H St NE,Sexual Orientation,,Simple Assault
2/23/2019,0326,02/23/19,2019,2,19031660,3D,1900 B/O 9th St NW,Sexual Orientation,,Threats
2/24/2019,2025,02/24/19,2019,2,19032598,7D,1500 B/O Savannah St SE,Gender Identity/Expression,,Robbery
2/14/2019,1530,02/26/19,2019,2,19033032,2D,1100 B/O 15th St NW,Race,Black,Threats
2/26/2019,0532,02/26/19,2019,2,19033338,2D,1400 B/O P St NW,Ethnicity/National Origin,Latino/Hispanic,Threats
2/27/2019,1240,02/27/19,2019,2,19034101,6D,900 B/O Eastern Ave NW,Gender Identity/Expression,,ADW
3/2/2019,0930,03/02/19,2019,3,19035905,3D,1900 B/O 2nd ST NW,Ethnicity/National Origin,Asian,Damage/Defacing/Destruction of Property
3/4/2019,1750,03/04/19,2019,3,19037251,2D,1400 B/O 16th St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
3/5/2019,1303,03/05/19,2019,3,19037814,1D,1500 B/O E St SE,Race,White,Damage/Defacing/Destruction of Property
3/6/2019,0203,03/06/19,2019,3,19038064,2D,1200 B/O Connecticut Ave NW,Sexual Orientation,,Simple Assault
3/7/2019,1749,03/07/19,2019,3,19039083,5D,Unit B/O Florida Ave  NE,Gender Identity/Expression,,Threats
3/8/2019,1915,03/09/19,2019,3,19040328,2D,800 B/O 16th St NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
3/10/2019,0404,03/10/19,2019,3,19040518,5D,Unit B/O New York Ave NE,Sexual Orientation,,Simple Assault
3/10/2019,2251,03/10/19,2019,3,19040901,2D,4500 B/O Wisconsin Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
3/8/2019,1430,03/11/19,2019,3,19040975,2D,900 B/O 23rd St NW,Race,Black,Damage/Defacing/Destruction of Property
3/15/2019,0213,03/15/19,2019,3,19043676,3D,1900 B/O 14th St NW,Sexual Orientation,,Simple Assault
3/15/2019,0811,03/15/19,2019,3,19043732,1D,Unit B/O K St NW,Ethnicity/National Origin,Latino/Hispanic,Threats
3/11/2019,1147,03/15/19,2019,3,19043761,1D,800 B/O 8th St NW,Ethnicity/National Origin,Jewish,Threats
3/8/2019,0728,03/15/19,2019,3,19043928,1D,200 B/O H St NW,Ethnicity/National Origin,Arab/Middle Eastern,Threats
3/15/2019,1614,03/15/19,2019,3,19043993,6D,4200 B/O Edson Pl NE,Ethnicity/National Origin,Black/African,Simple Assault
3/9/2019,1954,03/16/19,2019,3,19044824,2D,1900 B/O K St NW,Sex/Gender,Female,Threats
3/15/2019,1545,03/18/19,2019,3,19045789,2D,1100 B/O 19th St NW,Gender Identity/Expression,,Threats
3/19/2019,1300,03/19/19,2019,3,19046529,3D,3100 B/O 14th St NW,Sexual Orientation,,Threats
3/19/2019,1757,03/19/19,2019,3,19046574,2D,Unit B/O Washington Cir NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
3/20/2019,2152,03/20/19,2019,3,19047353,5D,1700 B/O Lincoln Rd NE,Sexual Orientation,,Threats
3/22/2019,1421,03/22/19,2019,3,19048300,4D,7500 B/O Georgia Ave NW,Gender Identity/Expression,,Threats
3/24/2019,0023,03/24/19,2019,3,19049304,2D,2200 B/O I St NW,Ethnicity/National Origin,Asian,Simple Assault
3/24/2019,1600,03/24/19,2019,3,19049685,3D,1700 B/O Columbia Rd NW,Sexual Orientation,,Threats
3/26/2019,1515,03/26/19,2019,3,19050952,3D,1800 B/O Kalorama Rd NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
3/26/2019,1743,03/26/19,2019,3,19050983,2D,Unit B/O Dupont Cir NW,Sexual Orientation,,Simple Assault
3/22/2019,2000,03/26/19,2019,3,19051011,4D,1500 B/O Ogden St NW,Ethnicity/National Origin,Jamaican,Simple Assault
3/27/2019,0803,03/27/19,2019,3,19051332,2D,2400 B/O K St NW,Race,White,Simple Assault
3/28/2019,1836,03/28/19,2019,3,19052430,1D,400 B/O H St NE,Ethnicity/National Origin,Asian,Simple Assault
3/29/2019,1120,03/29/19,2019,3,19052770,2D,4900 B/O Massachusetts Ave NW,Religion,Jewish,Stalking
3/30/2019,1503,03/30/19,2019,3,19053554,6D,1700 B/O 28th ST SE,Sexual Orientation,,Simple Assault
3/31/2019,1347,03/31/19,2019,3,19054139,3D,2600 B/O 14th ST NW,Race,White,Robbery
